,0
378,1.69754
379,1.785463
380,1.868319
381,1.945812
382,2.017056
383,2.08154
384,2.139047
385,2.190673
386,2.238443
387,2.285216
388,2.334346
389,2.385479
390,2.435531
391,2.482542
392,2.525462
393,2.565002
394,2.603147
395,2.64031
396,2.675729
397,2.708181
398,2.736155
399,2.757722
400,2.77133
401,2.77951
402,2.783417
403,2.784387
404,2.783845
405,2.781172
406,2.774255
407,2.762067
408,2.744421
409,2.721533
410,2.694319
411,2.664073
412,2.630077
413,2.591283
414,2.546452
415,2.4957
416,2.440175
417,2.381348
418,2.320883
419,2.259536
420,2.196772
421,2.132251
422,2.066468
423,1.997471
424,1.926566
425,1.853976
426,1.778753
427,1.700883
428,1.621037
429,1.540568
430,1.461272
431,1.383293
432,1.305534
433,1.226767
434,1.145713
435,1.06232
436,0.9774517
437,0.8928073
438,0.8106448
439,0.7327257
440,0.6603667
441,0.5933034
442,0.5301032
443,0.4689747
444,0.4079258
445,0.3460042
446,0.2830624
447,0.2208714
448,0.1625542
449,0.1087779
450,0.05836086
451,0.01117266
452,-0.03213534
453,-0.07093727
454,-0.1046548
455,-0.1339592
456,-0.1604266
457,-0.18412
458,-0.2039824
459,-0.2193166
460,-0.2297229
461,-0.2365426
462,-0.2423566
463,-0.2489261
464,-0.2573352
465,-0.2693132
466,-0.286995
467,-0.3098723
468,-0.335493
469,-0.3610592
470,-0.3836269
471,-0.4025691
472,-0.4190042
473,-0.4339821
474,-0.4484638
475,-0.4623659
476,-0.4748373
477,-0.4847863
478,-0.4909909
479,-0.4943499
480,-0.4973032
481,-0.4996708
482,-0.5022475
483,-0.5038716
484,-0.5011718
485,-0.4924216
486,-0.4771883
487,-0.4568115
488,-0.4338972
489,-0.4100858
490,-0.3863686
491,-0.3661051
492,-0.3454286
493,-0.3245222
494,-0.3038582
495,-0.2834545
496,-0.265009
497,-0.2484889
498,-0.2333499
499,-0.2190343
500,-0.2049968
501,-0.1935481
502,-0.1910947
503,-0.1988487
504,-0.2155108
505,-0.239035
506,-0.2658994
507,-0.2941994
508,-0.3233005
509,-0.353424
510,-0.3854198
511,-0.4210149
512,-0.4625191
513,-0.5107943
514,-0.5655899
515,-0.6240374
516,-0.6814333
517,-0.7365046
518,-0.7905673
519,-0.844883
520,-0.900623
521,-0.957149
522,-1.012504
523,-1.067699
524,-1.125903
525,-1.187372
526,-1.250181
527,-1.31248
528,-1.372541
529,-1.429917
530,-1.48513
531,-1.538511
532,-1.590239
533,-1.64373
534,-1.694404
535,-1.74055
536,-1.781633
537,-1.816699
538,-1.844525
539,-1.864855
540,-1.878271
541,-1.885532
542,-1.887393
543,-1.885384
544,-1.881407
545,-1.876137
546,-1.86932
547,-1.859968
548,-1.846593
549,-1.829635
550,-1.811025
551,-1.790242
552,-1.765238
553,-1.735114
554,-1.69942
555,-1.66026
556,-1.621074
557,-1.582976
558,-1.54416
559,-1.50483
560,-1.469914
561,-1.438059
562,-1.4115
563,-1.390949
564,-1.375956
565,-1.365456
566,-1.357965
567,-1.353102
568,-1.351311
569,-1.352169
570,-1.354626
571,-1.358234
572,-1.363008
573,-1.367752
574,-1.370425
575,-1.369662
576,-1.36466
577,-1.353588
578,-1.333937
579,-1.305633
580,-1.270422
581,-1.230931
582,-1.190347
583,-1.148967
584,-1.104944
585,-1.058142
586,-1.009701
587,-0.9610304
588,-0.9136828
589,-0.8682462
590,-0.8245686
591,-0.7822744
592,-0.7408362
593,-0.6993254
594,-0.6565567
595,-0.6120229
596,-0.5657471
597,-0.5189474
598,-0.4736823
599,-0.4309759
600,-0.3897709
601,-0.3512833
602,-0.3175739
603,-0.2886698
604,-0.2637443
605,-0.2417467
606,-0.2214959
607,-0.202855
608,-0.1864625
609,-0.1724467
610,-0.1605512
611,-0.1498997
612,-0.1391888
613,-0.1290612
614,-0.1215741
615,-0.1165677
616,-0.1122436
617,-0.1073151
618,-0.1000063
619,-0.09083873
620,-0.08069611
621,-0.07012998
622,-0.05973602
623,-0.04984059
624,-0.04055736
625,-0.03002047
626,-0.02049781
627,-0.01225317
628,-0.005305905
629,0.001253627
630,0.008987712
631,0.01832595
632,0.0288406
633,0.03900428
634,0.04653436
635,0.04975593
636,0.04751303
637,0.04031807
638,0.02990454
639,0.01577056
640,-0.0009523092
641,-0.0186675
642,-0.03529814
643,-0.05064908
644,-0.06592691
645,-0.08133578
646,-0.09632957
647,-0.1114568
648,-0.1280555
649,-0.1461654
650,-0.164862
651,-0.1826459
652,-0.1976517
653,-0.208595
654,-0.2146764
655,-0.216021
656,-0.2134407
657,-0.2081243
658,-0.2014989
659,-0.1932965
660,-0.1820066
661,-0.1675606
662,-0.1509653
663,-0.1338578
664,-0.1182815
665,-0.1042975
666,-0.09049468
667,-0.07646966
668,-0.06258106
669,-0.04948797
670,-0.03804619
671,-0.02753613
672,-0.01645889
673,-0.007488041
674,0.00251046
675,0.01312649
676,0.02392388
677,0.03479031
678,0.04585694
679,0.05646171
680,0.06538045
681,0.07334512
682,0.08250904
683,0.09567158
684,0.1159993
685,0.1423568
686,0.1704607
687,0.1965428
688,0.2173636
689,0.2326615
690,0.2443966
691,0.253575
